发票号码,发票日期,销售方,采购方,合计金额,项目内容,文件路径
25439165666000019624,2025-03-19,中国铁路祝您旅途愉快,杭州趣链科技有限公司,96.5,铁路旅客运输,user_bd9a6722-a781-4f0b-8856-c6c5e261cbd0/4a17d066_20250706_041532_56558a8d.pdf
25439165666000015358,2025-03-06,中国铁路祝您旅途愉快,中国铁路祝您旅途愉快,379.5,铁路旅客运输,user_bd9a6722-a781-4f0b-8856-c6c5e261cbd0/f9fbd314_20250706_041526_15e62a0a.pdf
25439165666000013950,2025-03-03,中国铁路祝您旅途愉快,杭州趣链科技有限公司,86.5,铁路旅客运输,user_bd9a6722-a781-4f0b-8856-c6c5e261cbd0/28bcc775_20250706_041514_2b601808.pdf
25439165660000008536,2025-03-03,中国铁路祝您旅途愉快,中国铁路祝您旅途愉快,12.0,铁路旅客运输,user_bd9a6722-a781-4f0b-8856-c6c5e261cbd0/dc0745ef_20250706_041503_2e20ecb7.pdf
25439122799000011090,2025-03-19,中国铁路祝您旅途愉快,中国铁路祝您旅途愉快,339.0,铁路旅客运输,user_bd9a6722-a781-4f0b-8856-c6c5e261cbd0/bd7e3cbb_20250706_041456_4367188a.pdf
